"A: Ingredient Name","B: Common Synonyms","C: E-Number","D: Category","E: Primary Function","F: Secondary Function","G: Mechanism of Action","H: Application Categories","I: Usage Level Min %","J: Usage Level Max %","K: pH Range Min","L: pH Range Max","M: Heat Stable","N: Freeze-Thaw Stable","O: Clean Label Status","P: Clean Label Alternatives","Q: Substitution Ratio","R: Sensory Impact of Substitution","S: Processing Considerations","T: Regulatory Status Ghana FDA","U: Regulatory Status EU","V: Regulatory Status FDA USA","W: Functional Description"
"Tartrazine","Yellow No. 5","E102","COL","Yellow coloration","None","Excites azo chromophore","BV, CF",0.001,0.015,2.0,12.0,"Y","Y","N-CL","Curcumin, Beta-Carotene","1:8","Earthy, warm notes","Avoid reduction by sulfur dioxide","APP","RES","APP","Highly stable greenish-yellow azo dye"
"Sunset Yellow","Yellow No. 6","E110","COL","Orange coloration","None","Excites sulfonated azo group","BV, SN",0.001,0.015,2.5,11.0,"Y","Y","N-CL","Paprika Extract, Annatto","1:6","Peppery aroma, oily feel","High light stability, oil dispersion","APP","RES","APP","Reddish-yellow synthetic monoazo dye"
"Carmoisine","Azorubine","E122","COL","Red coloration","None","Excites disulfonated azo group","BV, DS",0.001,0.010,3.0,10.0,"Y","Y","N-CL","Beetroot Red, Anthocyanins","1:12","Earthy betalain notes","Decolorizes under active fermentation","APP","RES","BAN","Naphthalene-derived deep red azo dye"
"Ponceau 4R","Brilliant Scarlet","E124","COL","Red coloration","None","Excites trisulfonated azo group","BV, MT",0.001,0.012,3.0,11.0,"Y","Y","N-CL","Lycopene, Beetroot Red","1:10","Mild tomato notes, grittiness","Rapidly degraded by sulfur dioxide","APP","RES","BAN","Intense scarlet azo coloring agent"
"Allura Red AC","Red No. 40","E129","COL","Red coloration","None","Excites monoazo chromophore","BV, BF",0.001,0.020,3.0,11.0,"Y","Y","N-CL","Beetroot Red, Anthocyanins","1:8","Color fades at neutral pH","Exceptional stability to retort heat","APP","RES","APP","Vibrant orange-red petroleum dye"
"Brilliant Blue FCF","Blue No. 1","E133","COL","Blue coloration","None","Excites triphenylmethane group","BV, CF",0.0005,0.010,2.5,10.0,"Y","Y","N-CL","Spirulina Extract","1:7","Slight marine/algal off-note","Degrades under severe retort thermal","APP","APP","APP","Sky-blue triphenylmethane dye"
"Sorbic Acid","Hexa-2,4-dienoic acid","E200","PRE","Antifungal agent","Antimicrobial","Disrupts cell membrane proton gradient","BF, SA",0.05,0.20,2.5,6.5,"M","Y","N-CL","Buffered Vinegar","1:2","Mild acetic, tart acid profile","Sparingly soluble in cold water","APP","APP","APP","Organic acid mold inhibitor"
"Potassium Sorbate","Sorbate salt","E202","PRE","Antifungal agent","Antimicrobial","Dissociates into active sorbic acid","BV, SA",0.05,0.25,3.0,6.5,"Y","Y","N-CL","Buffered Vinegar, Cultured Sugar","1:2.5","Acidity, mild vinegar notes","Dissolve fully before adding acid","APP","APP","APP","Highly water-soluble yeast inhibitor"
"Benzoic Acid","Benzenecarboxylic acid","E210","PRE","Antibacterial agent","Antfungal","Lowers intracellular bacterial pH","BV, SA",0.01,0.15,2.5,4.5,"Y","Y","N-CL","Cranberry Extract, Citric Acid","1:3.5","Bitterness, high astringency","Extremely low aqueous solubility","APP","APP","APP","Monocarboxylic aromatic preservative"
"Sodium Benzoate","Benzoate salt","E211","PRE","Antibacterial agent","Antfungal","Enters cell, halts glycolysis","BV, SA",0.01,0.15,2.5,4.5,"Y","Y","N-CL","Buffered Vinegar","1:3","Vinegar sourness, reduction in brix","May form benzene with ascorbic acid","APP","APP","APP","Highly soluble aromatic preservative"
"Sulphur Dioxide","Sulfite gas","E220","PRE","Antimicrobial agent","Antioxidant","Breaks enzyme disulfide bonds","SA, CF",0.005,0.05,2.0,6.0,"N","Y","N-CL","Ascorbic Acid, Rosemary Extract","1:5","Strong chemical sulfury aroma","Volatile gas, escapes during baking","APP","RES","RES","Dual-action preservative & antioxidant"
"Potassium Nitrite","Curing salt","E249","PRE","Clostridium control","Color curing","Generates nitric oxide, binds myoglobin","MT",0.005,0.015,5.0,7.0,"Y","Y","N-CL","Celery Powder + Starter Culture","1:8","Vegetable notes, salty trace","Risk of nitrosamines in high frying","APP","RES","APP","Potassium-based meat curing agent"
"Sodium Nitrite","Nitrite curing salt","E250","PRE","Clostridium control","Color curing","Blocks iron-sulfur bacterial clusters","MT",0.005,0.015,5.0,7.0,"Y","Y","N-CL","Celery Juice Concentrate","1:8","Salty, faint vegetable trace","Highly sensitive to acid accelerators","APP","RES","APP","Standard industrial curing agent"
"Sodium Nitrate","Nitrate salt","E251","PRE","Spore control","Nitrite reservoir","Reduced slowly to active nitrite","MT",0.005,0.025,5.0,7.5,"Y","Y","N-CL","Celery Leaf Powder","1:10","High background sodium flavor","Requires nitrate-reducing bacteria","APP","RES","APP","Long-term dry meat curing agent"
"Potassium Nitrate","Saltpeter","E252","PRE","Spore control","Nitrite reservoir","Bio-reduction to active nitrite","MT",0.005,0.025,5.0,7.5,"Y","Y","N-CL","Fermented Celery, Sea Salt","1:10","Salty profile, trace minerals","Inactive below 4 degrees Celsius","APP","RES","APP","Traditional curing agent for hard cheese"
